,0
0,0.6211994
1,0.98518145
2,0.9433127
3,0.24888219
4,0.9814777
5,0.85336936
6,0.90023804
7,0.9760943
8,0.38800982
9,0.9924429
10,0.9751728
11,0.65840566
12,0.9364838
13,0.0840448
14,0.981573
15,0.20893471
16,0.9614426
17,0.9867923
18,0.98933256
19,0.99168456
20,0.9990244
21,0.99685186
22,0.99701786
23,0.9993498
24,0.55752885
25,0.9400262
26,0.4515451
27,0.5676349
28,0.99042994
29,0.9966425
30,0.9957883
31,0.9617322
32,0.6393409
33,0.5183601
34,0.38437995
35,0.9627128
36,0.36019763
37,0.9422853
38,0.9841743
39,0.47507024
40,0.10538396
41,0.5020098
42,0.32128868
43,0.11120486
44,0.98531425
45,0.8760975
46,0.99956304
47,0.9996259
48,0.4197447
49,0.625343
50,0.98632854
51,0.91994745
52,0.969516
53,0.91301984
54,0.94241434
55,0.9464551
56,0.9898672
57,0.67209786
58,0.6097416
59,0.98083764
60,0.92200184
61,0.3203849
62,0.8390677
63,0.9642025
64,0.2593836
65,0.996449
66,0.8398235
67,0.727609
68,0.84120464
69,0.99204457
70,0.99975544
71,0.91440344
72,0.99936575
73,0.77401537
74,0.69344294
75,0.9340851
76,0.6096439
77,0.96165514
78,0.9148829
79,0.79557514
80,0.9956682
81,0.9736708
82,0.94779783
83,0.97494966
84,0.99929965
85,0.95198464
86,0.99563366
87,0.8641673
88,0.9678113
89,0.99945074
90,0.9917148
91,0.40189075
92,0.91072
93,0.61102295
94,0.4954666
95,0.34903836
96,0.93341666
97,0.9985864
98,0.7742252
99,0.9660483
100,0.99744475
101,0.99773943
102,0.9765271
103,0.99354035
104,0.94175696
105,0.12687956
106,0.992241
107,0.13370678
108,0.9408094
109,0.9966606
110,0.81636614
111,0.8821214
112,0.9900215
113,0.99337405
114,0.9759235
115,0.9859439
116,0.9251393
117,0.73903686
118,0.9978788
119,0.55164
120,0.6650809
121,0.86110574
122,0.7425156
123,0.99927765
124,0.9977678
125,0.9990471
126,0.94836414
127,0.9836835
128,0.80104846
129,0.6380212
130,0.9976501
131,0.9928987
132,0.99923646
133,0.99994063
134,0.9833734
135,0.99839216
136,0.9896947
137,0.82996255
138,0.39622238
139,0.3542351
140,0.9933755
141,0.19657391
142,0.9886302
143,0.9233014
144,0.7531032
145,0.9813789
146,0.9971424
147,0.98462313
148,0.74048924
149,0.7395131
150,0.9433412
151,0.9899768
152,0.77813596
153,0.73860544
154,0.17429408
155,0.23190385
156,0.11690506
157,0.19324656
158,0.78027755
159,0.96693623
160,0.1505547
161,0.11145173
162,0.2770429
163,0.25727382
164,0.92420423
165,0.12748855
166,0.9160307
167,0.62928617
168,0.96619874
169,0.7214419
170,0.6639079
171,0.20414765
172,0.16465156
173,0.63271177
174,0.61331666
175,0.20094524
176,0.4485605
177,0.29558516
178,0.7590682
179,0.1442826
180,0.8333502
181,0.7637654
182,0.4054146
183,0.16976507
184,0.43530944
185,0.8440725
186,0.21163619
187,0.96677834
188,0.14249513
189,0.14107895
190,0.63778627
191,0.9746346
192,0.974632
193,0.11471002
194,0.7426417
195,0.20473604
196,0.13351943
197,0.20126103
198,0.7669432
199,0.9008317
200,0.45914808
201,0.19665013
202,0.56611633
203,0.83064336
204,0.90787303
205,0.68472296
206,0.5651483
207,0.90840197
208,0.07017119
209,0.7486495
210,0.6076767
211,0.101371184
